timestamp,B(ghi_kt|8h) ,B(ghi_kt|9h),B(ghi_kt|10h),B(ghi_kt|11h),B(ghi_kt|12h),B(ghi_kt|13h),B(ghi_kt|14h),B(ghi_kt|15h),B(ghi_kt|16h),B(ghi_kt|17h),B(ghi_kt|18h),B(ghi_kt|19h),B(dni_kt|8h) ,B(dni_kt|9h),B(dni_kt|10h),B(dni_kt|11h),B(dni_kt|12h),B(dni_kt|13h),B(dni_kt|14h),B(dni_kt|15h),B(dni_kt|16h),B(dni_kt|17h),B(dni_kt|18h),B(dni_kt|19h),V(ghi_kt|8h) ,V(ghi_kt|9h),V(ghi_kt|10h),V(ghi_kt|11h),V(ghi_kt|12h),V(ghi_kt|13h),V(ghi_kt|14h),V(ghi_kt|15h),V(ghi_kt|16h),V(ghi_kt|17h),V(ghi_kt|18h),V(ghi_kt|19h),V(dni_kt|8h) ,V(dni_kt|9h),V(dni_kt|10h),V(dni_kt|11h),V(dni_kt|12h),V(dni_kt|13h),V(dni_kt|14h),V(dni_kt|15h),V(dni_kt|16h),V(dni_kt|17h),V(dni_kt|18h),V(dni_kt|19h),L(ghi_kt|8h) ,L(ghi_kt|9h),L(ghi_kt|10h),L(ghi_kt|11h),L(ghi_kt|12h),L(ghi_kt|13h),L(ghi_kt|14h),L(ghi_kt|15h),L(ghi_kt|16h),L(ghi_kt|17h),L(ghi_kt|18h),L(ghi_kt|19h),L(dni_kt|8h) ,L(dni_kt|9h),L(dni_kt|10h),L(dni_kt|11h),L(dni_kt|12h),L(dni_kt|13h),L(dni_kt|14h),L(dni_kt|15h),L(dni_kt|16h),L(dni_kt|17h),L(dni_kt|18h),L(dni_kt|19h)
2014-01-02 12:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-01-03 12:00:00,1.200000,1.200000,1.200000,1.166205,1.171573,1.149115,1.135826,1.126372,1.118463,1.109631,1.108636,1.115423,1.200000,1.200000,1.200000,1.122939,1.125779,1.072791,1.056386,1.058124,1.061188,1.058866,1.060680,1.072052,0.000000,0.000000,0.000000,0.039039,0.038932,0.042061,0.041973,0.039382,0.037140,0.036785,0.037384,0.036443,0.000000,0.000000,0.000000,0.075163,0.077653,0.075497,0.072045,0.067482,0.063628,0.061588,0.060599,0.058480,1.200000,1.200000,1.200000,1.064820,1.193044,1.036826,1.056089,1.060193,1.055190,1.030144,1.098693,1.190075,1.200000,1.200000,1.200000,0.891756,1.137140,0.807847,0.957960,1.070286,1.085705,1.037964,1.078818,1.197148
2014-01-04 12:00:00,1.200000,1.200000,1.200000,1.194557,1.192873,1.177134,1.160482,1.146232,1.135274,1.127768,1.125851,1.131656,1.200000,1.200000,1.200000,1.181597,1.180560,1.166340,1.153161,1.142892,1.136691,1.134694,1.138861,1.143956,0.000000,0.000000,0.000000,0.018791,0.016825,0.015373,0.014235,0.013316,0.012556,0.011914,0.011371,0.010894,0.000000,0.000000,0.000000,0.050640,0.045291,0.041342,0.038273,0.035800,0.033753,0.032023,0.030535,0.029233,1.200000,1.200000,1.200000,1.178228,1.186135,1.098439,1.060569,1.046486,1.047608,1.060216,1.106681,1.195506,1.200000,1.200000,1.200000,1.126389,1.176411,1.095242,1.074085,1.071009,1.087085,1.116716,1.180534,1.200000
2014-01-05 12:00:00,1.200000,1.200000,1.200000,1.198331,1.198570,1.189132,1.176615,1.164570,1.154680,1.147623,1.145697,1.150192,1.200000,1.200000,1.200000,1.184672,1.187604,1.180854,1.171578,1.162106,1.155668,1.152571,1.155009,1.158758,0.000000,0.000000,0.000000,0.008313,0.007437,0.006818,0.006348,0.005972,0.005648,0.005375,0.005178,0.004973,0.000000,0.000000,0.000000,0.041677,0.037263,0.034016,0.031498,0.029472,0.027792,0.026371,0.025152,0.024080,1.200000,1.200000,1.200000,1.193324,1.199524,1.141942,1.101512,1.080257,1.075560,1.084109,1.126437,1.199634,1.200000,1.200000,1.200000,1.138689,1.199334,1.147099,1.115926,1.095796,1.104166,1.124700,1.179385,1.200000
2014-01-06 12:00:00,1.200000,1.200000,1.200000,1.199024,1.196491,1.179060,1.161791,1.148027,1.137142,1.129813,1.127596,1.133187,1.200000,1.200000,1.200000,1.182006,1.170450,1.144332,1.123019,1.107729,1.097121,1.091347,1.091514,1.100162,0.000000,0.000000,0.000000,0.007389,0.006676,0.006156,0.005735,0.005396,0.005104,0.004858,0.004675,0.004496,0.000000,0.000000,0.000000,0.039608,0.035456,0.032373,0.029978,0.028051,0.026455,0.025102,0.023947,0.022931,1.200000,1.200000,1.200000,1.196097,1.186359,1.091902,1.058180,1.051678,1.050066,1.063850,1.105425,1.194686,1.200000,1.200000,1.200000,1.128022,1.124230,1.013737,0.995145,1.000701,1.012249,1.039388,1.093181,1.195288
2014-01-07 12:00:00,1.200000,1.200000,1.200000,1.155424,1.072882,1.044438,0.985246,0.920518,0.894699,0.877572,0.864592,0.858552,1.200000,1.200000,1.200000,1.085000,0.922630,0.838113,0.725637,0.636670,0.585277,0.538380,0.506425,0.470598,0.000000,0.000000,0.000000,0.029446,0.056446,0.081072,0.078206,0.073950,0.075305,0.072822,0.070062,0.068194,0.000000,0.000000,0.000000,0.077622,0.105722,0.128654,0.120884,0.113453,0.111266,0.106582,0.102116,0.099003,1.200000,1.200000,1.200000,1.021694,0.742713,0.902221,0.630095,0.467419,0.688145,0.723427,0.734800,0.792111,1.200000,1.200000,1.200000,0.740000,0.273150,0.415530,0.050781,0.013901,0.174133,0.116305,0.186878,0.076495
2014-01-08 12:00:00,1.200000,1.200000,1.200000,1.197690,1.179287,1.164682,1.148419,1.135693,1.123920,1.103528,1.030585,1.008574,1.200000,1.200000,1.200000,1.158749,1.098690,1.065823,1.050335,1.023257,0.999942,0.978952,0.892488,0.818869,0.000000,0.000000,0.000000,0.043167,0.066868,0.072029,0.066682,0.095631,0.097115,0.095099,0.091604,0.087850,0.000000,0.000000,0.000000,0.074240,0.091503,0.094158,0.087164,0.118082,0.119135,0.116089,0.111549,0.106844,1.200000,1.200000,1.200000,1.190761,1.105673,1.091662,1.050841,1.046611,1.029729,0.920007,0.301156,0.766449,1.200000,1.200000,1.200000,1.034997,0.858455,0.901489,0.957404,0.833709,0.813424,0.790047,0.027843,0.009056
2014-01-09 12:00:00,1.200000,1.200000,1.200000,1.200000,1.186026,1.118587,1.052797,0.992429,0.957684,0.933003,0.941778,0.947948,1.200000,1.200000,1.200000,1.167664,1.089003,0.954673,0.833325,0.738957,0.666782,0.610367,0.607428,0.591619,0.000000,0.000000,0.000000,0.000000,0.023698,0.048338,0.054072,0.052591,0.056367,0.067347,0.076161,0.077884,0.000000,0.000000,0.000000,0.063890,0.065102,0.073831,0.074818,0.070931,0.071789,0.076849,0.090348,0.094242,1.200000,1.200000,1.200000,1.200000,1.130128,0.781395,0.658056,0.569851,0.679727,0.710870,1.029535,1.015813,1.200000,1.200000,1.200000,1.070656,0.774361,0.283020,0.105237,0.078383,0.089384,0.102629,0.578035,0.417722
2014-01-10 12:00:00,1.200000,1.200000,1.200000,1.142437,1.095412,1.091227,1.083313,1.037388,0.966603,0.933706,0.937501,0.925675,1.200000,1.200000,1.200000,1.070000,0.950169,0.963481,0.972483,0.885968,0.788203,0.726238,0.731197,0.722282,0.000000,0.000000,0.000000,0.027115,0.073162,0.068678,0.063592,0.068362,0.066783,0.077608,0.080893,0.083402,0.000000,0.000000,0.000000,0.077622,0.111331,0.104049,0.096330,0.098005,0.092945,0.099287,0.102738,0.106012,1.200000,1.200000,1.200000,0.969750,0.907309,1.070303,1.035827,0.715913,0.400324,0.637631,0.975459,0.795580,1.200000,1.200000,1.200000,0.680000,0.470847,1.030037,1.026499,0.280363,0.006082,0.168551,0.780785,0.624223
2014-01-11 12:00:00,1.200000,1.200000,1.200000,1.200000,1.173122,1.130251,1.103144,1.084222,1.075762,1.065274,1.062106,1.053171,1.200000,1.200000,1.200000,1.149567,1.019680,0.950462,0.915153,0.897627,0.900568,0.892310,0.893067,0.858180,0.000000,0.000000,0.000000,0.000000,0.021041,0.027456,0.032472,0.033207,0.032097,0.032134,0.034929,0.034703,0.000000,0.000000,0.000000,0.074301,0.072158,0.069488,0.068161,0.065520,0.062299,0.060252,0.060977,0.061233,1.200000,1.200000,1.200000,1.200000,1.065608,0.915898,0.940504,0.951766,1.008087,0.970878,1.030424,0.954884,1.200000,1.200000,1.200000,0.998268,0.500134,0.604371,0.703300,0.774940,0.924095,0.817997,0.900630,0.474423
